country,latitude,longitude
Egypt,26.2540493,29.2675469
Poland,52.215933,19.134422
Sao Tome and Principe,0.9713095,7.02255
Timor-Leste,-8.7443169,126.063482
Paraguay,-23.3165935,-58.1693445
Burundi,-3.426449,29.9324519
Singapore,1.357107,103.8194992
Luxembourg,49.8158683,6.1296751
Malta,35.8885993,14.4476911
Grenada,12.1360374,-61.6904045
Uganda,1.5333554,32.2166578
Jamaica,18.1850507,-77.3947693
Peru,-6.8699697,-75.0458515
Belarus,53.4250605,27.6971358
Algeria,28.0000272,2.9999825
Zambia,-14.5189121,27.5589884
Tajikistan,38.6281733,70.8156541
Iceland,64.9841821,-18.1059013
"Moldova, Republic of",47.2879608,28.5670941
"Bolivia, Plurinational State of",-17.0568696,-64.9912286
Haiti,19.1399952,-72.3570972
Slovakia,48.7411522,19.4528646
Slovenia,46.1199444,14.8153333
Ethiopia,10.2116702,38.6521203
South Sudan,7.8699431,29.6667897
Greenland,77.6192349,-42.8125967
El Salvador,13.8000382,-88.9140683
Palau,5.3783537,132.9102573
Portugal,39.6621648,-8.1353519
Georgia,42.3154,43.3569
Austria,47.59397,14.12456
Syrian Arab Republic,34.6401861,39.0494106
Dominican Republic,19.0974031,-70.3028026
South Africa,-28.8166236,24.991639
Uzbekistan,41.32373,63.9528098
Bangladesh,24.4769288,90.2934413
Tuvalu,-8.6405212,179.1582918
Sri Lanka,7.5554942,80.7137847
Democratic People's Republic of Korea,40.3736611,127.0870417
Nepal,28.3780464,83.9999901
Tunisia,33.8439408,9.400138
Suriname,4.1413025,-56.0771187
Eswatini,-26.5624806,31.3991317
Lao People's Democratic Republic,20.0171109,103.378253
Ecuador,-1.3397668,-79.3666965
"Venezuela, Bolivarian Republic of",8.0018709,-66.1109318
Kuwait,29.2733964,47.4979476
Benin,9.5293472,2.2584408
Kiribati,0.3448612,173.6641773
Marshall Islands,8.230817,167.7953224
Madagascar,-18.9249604,46.4416422
Guinea-Bissau,11.815215,-15.2351044
Belize,17.1204943,-88.6859028
Tonga,-19.9160819,-175.202642
Lebanon,33.8750629,35.843409
Antigua and Barbuda,17.2234721,-61.9554608
Seychelles,-4.6574977,55.4540146
Barbados,13.1500331,-59.5250305
Latvia,56.8406494,24.7537645
Djibouti,11.8145966,42.8453061
Gabon,-0.8999695,11.6899699
Iran,32.6475314,54.5643516
Nauru,-0.5252306,166.9324426
Gambia,13.470062,-15.4900464
Dominica,15.4113138,-61.3653618
Jordan,31.1667049,36.941628
Guatemala,15.5855545,-90.345759
Guyana,4.8417097,-58.6416891
Angola,-11.8775768,17.5691241
Ireland,52.865196,-7.9794599
Saint Lucia,13.8250489,-60.975036
Burkina Faso,12.0753083,-1.6880314
Cuba,23.0131338,-80.8328748
Mauritania,20.2540382,-9.2399263
Iraq,33.0955793,44.1749775
Myanmar,17.1750495,95.9999652
Eritrea,15.9500319,37.9999668
Fiji,-18.1239696,179.0122737
"Micronesia, Federated States of",8.6062347,151.8327443
Kyrgyzstan,41.5089324,74.724091
Turkmenistan,39.3763807,59.3924609
Albania,41.000028,19.9999619
Cameroon,4.6125522,13.1535811
Vanuatu,-16.5255069,168.1069154
Libyan Arab Jamahiriya,26.8234472,18.1236723
Malawi,-13.2687204,33.9301963
Cape Verde,16.0000552,-24.0083947
"Congo, the Democratic Republic of the",-2.9814344,23.8222636
Cambodia,12.5433216,104.8144914
Sierra Leone,8.6400349,-11.8400269
Guinea,10.7226226,-10.7083587
Maldives,3.7203503,73.2244152
Monaco,43.7323492,7.4276832
Côte d'Ivoire,7.9897371,-5.5679458
Honduras,15.2572432,-86.0755145
Niger,17.7356214,9.3238432
Liechtenstein,47.1416307,9.5531527
Botswana,-23.1681782,24.5928742
Equatorial Guinea,1.613172,10.5170357
Lesotho,-29.6039267,28.3350193
"Macedonia, the former Yugoslav Republic of",41.6171214,21.7168387
Liberia,5.7499721,-9.3658524
Bahrain,26.1551249,50.5344606
"Palestinian Territory, Occupied",31.9522,35.2332
Croatia,45.3658443,15.6575209
Chad,15.6134137,19.0156172
Azerbaijan,40.3936294,47.7872508
Estonia,58.7523778,25.3319078
Armenia,40.7696272,44.6736646
Comoros,-12.2045176,44.2832964
Saint Kitts and Nevis,17.250512,-62.6725973
Saint Vincent and the Grenadines,12.90447,-61.2765569
Cook Islands,-19.9969716,-157.7858714
Mauritius,-20.2759451,57.5703566
Serbia,44.1534121,20.55144
Niue,-19.0536414,-169.861341
Afghanistan,33.7680065,66.2385139
San Marino,43.9458623,12.458306
Oman,21.0000287,57.0036901
Brunei Darussalam,4.4137155,114.5653908
Qatar,25.3336984,51.2295295
Bahamas,24.7736546,-78.0000547
French Polynesia,-17.0243749,-144.6434898
Central African Republic,7.0323598,19.9981227
Papua New Guinea,-5.6816069,144.2489081
